brand;model;3G_bands;4G_bands;network_speed;GPRS;EDGE;announced;dimentions;weight_g;weight_oz;display_resolution;display_size;OS;CPU;GPU;internal_memory;primary_camera;secondary_camera;USB;battery;colors;approx_price_EUR;img_url
verykool;s5511 Juno Quatro;HSDPA 850 / 1900 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2014  October;150.4 x 77.2 x 8.5 mm (5.92 x 3.04 x 0.33 in);157;554;5.5 inches (~71.8% screen-to-body ratio);540 x 960 pixels (~200 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;4 GB;8 MP| LED flash;2 MP;microUSB 2.0;Removable Li-Ion 2300 mAh battery;Yellow| Blue;;http://cdn2.gsmarena.com/vv/bigpic/verykool-s5510.jpg
verykool;s5510 Juno;HSDPA 850 / 1900 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2014  October;150.4 x 77.2 x 8.5 mm (5.92 x 3.04 x 0.33 in);157;554;5.5 inches (~71.8% screen-to-body ratio);540 x 960 pixels (~200 ppi pixel density);Android 4.4.2 (KitKat);Dual-core 1.2 GHz Cortex-A7;Mali-400;4 GB;8 MP| LED flash;1.3 MP;microUSB 2.0;Removable Li-Ion 2300 mAh battery;Yellow| Blue;;http://cdn2.gsmarena.com/vv/bigpic/verykool-s5510.jpg
verykool;s354;HSDPA 850 / 1900 ;;HSPA;Yes;Yes;2014  July;119 x 65 x 12 mm (4.69 x 2.56 x 0.47 in);105;370;3.5 inches (~47.2% screen-to-body ratio);320 x 480 pixels (~165 ppi pixel density);Android 4.2 (Jelly Bean);Dual-core 1.2 GHz Cortex-A7;Mali-400;4 GB;2 MP| LED flash;VGA;microUSB 2.0;Removable Li-Ion 1200 mAh battery;Black/Blue| Fuchsia| Yellow;60;http://cdn2.gsmarena.com/vv/bigpic/verykool-s354.jpg
verykool;SL5000 Quantum;HSDPA 850 / 1700 / 1900 / 2100 ;LTE band 2(1900)| 4(1700/2100)| 17(700);HSPA 42.2/11.5 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2014  September;143 x 72.8 x 8.9 mm (5.63 x 2.87 x 0.35 in);140;494;5.0 inches (~66.2% screen-to-body ratio);480 x 854 pixels (~196 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.2 GHz;;4 GB;8 MP| autofocus| LED flash;2 MP;microUSB 2.0;Removable Li-Ion 2000 mAh battery;White;180;http://cdn2.gsmarena.com/vv/bigpic/verykool-sl500.jpg
verykool;s401;UMTS 850 / 1900 / 2100 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2014  June;126 x 65 x 10.4 mm (4.96 x 2.56 x 0.41 in);100;353;4.0 inches (~55.6% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 4.2 (Jelly Bean);Dual-core 1.0 GHz;;4 GB;5 MP| LED flash;VGA;2.0;Removable Li-Ion 1400 mAh battery;Various;;http://cdn2.gsmarena.com/vv/bigpic/verykool-s401.jpg
verykool;s352;;;;Yes;Yes;2014  June;118 x 63.1 x 12.4 mm (4.65 x 2.48 x 0.49 in);104;367;3.5 inches;-;Android 4.2 (Jelly Bean);;;4 GB;2 MP;VGA;2.0;Removable Li-Ion 1300 mAh battery;Various;;http://cdn2.gsmarena.com/vv/bigpic/verykool-s352.jpg
verykool;s351;HSDPA 850 / 1900 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2014  June;116.9 x 62.7 x 12.7 mm (4.60 x 2.47 x 0.5 in);905;321;3.5 inches;-;Android 4.1.2 (Jelly Bean);Dual-core 1.0 GHz;;512 MB;2 MP;VGA;2.0;Removable Li-Ion 1150 mAh battery;Various;;http://cdn2.gsmarena.com/vv/bigpic/verykool-s351.jpg
verykool;i129;;;;Yes;No;2014  June;113.5 x 48.4 x 14 mm (4.47 x 1.91 x 0.55 in);75;265;1.77 inches (~17.9% screen-to-body ratio);128 x 160 pixels (~116 ppi pixel density);;;;;VGA;No;1.1;Removable Li-Ion 600 mAh battery;Various;;http://cdn2.gsmarena.com/vv/bigpic/verykool-i129.jpg
verykool;s505;HSDPA 850 / 1900 / 2100 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2014  May;143.5 x 71.6 x 8.3 mm (5.65 x 2.82 x 0.33 in);100;353;5.0 inches (~67.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 4.2 (Jelly Bean);Quad-core 1.3 GHz;;4 GB;12 MP| autofocus| LED flash;2 MP;Yes;Removable Li-Ion 2000 mAh battery;Black| White;;http://cdn2.gsmarena.com/vv/bigpic/verykool-s505.jpg
verykool;s450;HSDPA 850 / 1900 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2014  May;131.4 x 66.8 x 9.9 mm (5.17 x 2.63 x 0.39 in);1325;466;4.5 inches (~63.6% screen-to-body ratio);480 x 854 pixels (~218 ppi pixel density);Android 4.2 (Jelly Bean);Dual-core 1.2 GHz;;4 GB;8 MP;VGA;Yes;Removable Li-Ion 1750 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/verykool-s450.jpg
